School, Date, KWH, Therms
Monta Vista, 7/10/2023, 0.0, 5049.0
Monta Vista, 6/8/2023, 0.0, 8325.0
Monta Vista, 5/9/2023, 0.0, 36140.0
Monta Vista, 4/10/2023, 0.0, 95799.0
Monta Vista, 3/9/2023, 0.0, 84805.0
Monta Vista, 2/8/2023, 0.0, 136040.0
Monta Vista, 1/9/2023, 0.0, 65741.0
Monta Vista, 12/8/2022, 0.0, 32591.0
Monta Vista, 11/7/2022, 0.0, 26176.0
Monta Vista, 10/7/2022, 0.0, 6851.0
Monta Vista, 9/8/2022, 0.0, 5281.0
Monta Vista, 8/9/2022, 0.0, 1771.0
Monta Vista, 7/8/2022, 0.0, 960.0
Monta Vista, 6/8/2022, 0.0, 19234.0
Monta Vista, 5/9/2022, 0.0, 50839.0
Monta Vista, 4/8/2022, 0.0, 72910.0
Monta Vista, 3/8/2022, 0.0, 84825.0
Monta Vista, 2/7/2022, 0.0, 117869.0
Monta Vista, 1/6/2022, 0.0, 32313.0
Monta Vista, 12/8/2021, 0.0, 31229.0
Monta Vista, 11/8/2021, 0.0, 63520.0
Monta Vista, 10/7/2021, 0.0, 23016.0
Monta Vista, 9/9/2021, 0.0, 15605.0
Monta Vista, 8/10/2021, 0.0, 6138.0
Monta Vista, 7/9/2021, 0.0, 1556.0
Monta Vista, 6/9/2021, 0.0, 21110.0
Monta Vista, 5/10/2021, 0.0, 106833.0
Monta Vista, 4/9/2021, 0.0, 19805.0
Monta Vista, 3/10/2021, 0.0, 28451.0
Monta Vista, 2/22/2021, 0.0, 32450.0
Monta Vista, 1/21/2021, 0.0, 35453.0
Monta Vista, 12/21/2020, 0.0, 36515.0
Monta Vista, 11/19/2020, 0.0, 29153.0
Monta Vista, 10/21/2020, 0.0, 11132.0
Monta Vista, 9/20/2020, 0.0, 6419.0
Monta Vista, 8/20/2020, 0.0, 911.0
Monta Vista, 7/21/2020, 0.0, 1023.0
Monta Vista, 6/22/2020, 0.0, 744.0
Monta Vista, 5/21/2020, 0.0, 921.0
Monta Vista, 4/22/2020, 0.0, 10728.0
Monta Vista, 3/23/2020, 0.0, 54288.0
Monta Vista, 2/21/2020, 0.0, 82375.0
Monta Vista, 1/22/2020, 0.0, 58541.0
Monta Vista, 12/20/2019, 0.0, 31313.0
Monta Vista, 11/20/2019, 0.0, 48465.0
Monta Vista, 10/22/2019, 0.0, 42117.0
Monta Vista, 9/23/2019, 0.0, 15873.0
Monta Vista, 8/22/2019, 0.0, 5669.0
Monta Vista, 7/23/2019, 0.0, 9248.0
Monta Vista, 6/21/2019, 0.0, 15315.0
Monta Vista, 5/22/2019, 0.0, 83.0
Monta Vista, 4/23/2019, 0.0, 0.0
Monta Vista, 3/22/2019, 0.0, 0.0
Monta Vista, 2/21/2019, 0.0, 0.0
Monta Vista, 1/22/2019, 0.0, 0.0
Monta Vista, 12/20/2018, 0.0, 37315.0
Monta Vista, 11/20/2018, 0.0, 60704.0
